conflict_id,start_date,end_date,party1_iso,party2_iso,death_toll,place
20001,2022-02-24,2025-11-02,UA,RU,200000,UA
20001,2022-02-24,2025-11-02,UA,Wagner,20000,UA
20002,2023-10-07,2025-11-02,IL,Hamas,72000,PS
20003,2023-04-15,2025-11-02,SD,RSF,150000,SD
20004,2021-02-01,2025-11-02,MM,Tatmadaw,82000,MM
20005,2020-11-04,2025-11-02,ET,"TPLF,OLA",270000,ET
20006,2023-09-19,2023-09-25,AM,AZ,200,AM
20007,2006-11-12,2025-11-02,MX,"CJNG,Sinaloa,CDN",743,MX
20008,2023-05-06,2025-11-02,CD,M23,300,CD
20010,2019-07-01,2025-11-02,BF,"JNIM,ISGS",248,BF
20010,2019-07-01,2025-11-02,ISGS,JNIM,1500,BF
20011,2023-01-01,2025-11-02,ML,"JNIM,ISGS",1675,ML
20012,2017-10-05,2025-11-02,MZ,Islamic State,3529,MZ
20013,2023-07-26,2023-07-28,NE,National Council for the Safeguard of the Homeland,191,NE
20014,1996-11-13,2025-11-02,CD,ADF,750,CD
20015,1991-01-27,2025-11-02,SO,"Al-Shabaab,Islamic State Somalia",67984,SO
20016,2017-12-01,2025-11-02,CD,CODECO,900,CD
20017,2017-09-09,2025-11-02,CM,Ambazonia,6500,CM
20018,2023-01-01,2025-11-02,"PH,US",Islamic Jihad,21,PH
20020,2025-01-16,2025-11-02,"CO,VE",ELN,102,CO
20021,2011-12-15,2025-11-02,IQ,Islamic State,119,IQ
20022,2024-12-08,2025-11-02,SY,Islamic State,2533,SY
20023,2014-09-16,2025-11-02,YE,"Houthis,Al-Qaeda",150000,YE
20024,2000-03-06,2025-11-02,PK,"TTP,Baloch",10209,PK
20025,2021-01-01,2025-11-02,AF,IS-K,200,AF
20026,2009-07-26,2025-11-02,NG,"ISWAP,Boko Haram",19109,NG
20028,2020-05-23,2025-11-02,HT,"G9,GPep",20,HT
20031,2000-02-29,2025-11-02,IN,"ULFA,NSCN",7340,IN
20032,2024-01-09,2025-11-02,EC,Organized Crime,77,EC
20034,2016-01-01,2025-11-02,TD,FACT,300,TD
20035,2012-12-10,2025-11-02,CF,"UPC,3R,Coalition of Patriots for Change",250,CF
20037,2023-09-04,2023-09-04,PE,VRAEM,8,PE
20039,2004-01-04,2025-11-02,TH,BRN,81,TH
20040,2020-06-11,2020-06-11,CI,Jihadists,10,CI
20041,2023-01-01,2025-11-02,KE,Al-Shabaab,115,KE
20042,2022-05-11,2025-11-02,TG,JNIM,31,TG
20045,2025-05-12,2025-05-19,LY,LSF,2,LY
20046,2024-04-04,2024-04-04,IR,Jaish alx-Adl,36,IR
20146,2023-05-27,2023-05-27,IR,AF,2,IR
20054,1996-11-13,2025-11-02,"UG,CD",ADF,1595,UG
20055,2022-03-27,2025-06-27,RW,"CD,BI,UG,FDLR",7000,RW
20155,2022-03-27,2025-06-27,CD,M23,7000,CD
20156,1996-10-24,1997-05-16,"SD,TD,CD,Interahamwe,CDDD-FDD,UNITA,ADF,FLNC,LRA,UNRF II,","AFDL,RW,UG,BI,AO,ER,SPLA",250000,CD
20157,1998-08-02,2003-07-18,"CD,AO,CF,NA,ZW","UG,RW,BI,RCD,MLC",350000,CD
20057,2023-08-15,2025-11-02,NI,Wagner,60,NI
20058,1990-11-02,1992-07-21,MD,Transnistria,316,MD
20059,2022-07-31,2025-11-02,RS,XK,4,RS
20061,2016-04-04,2017-12-23,CG,Ninja Militia,115,CG
20062,2024-10-02,2024-10-02,DJ,FRUD-C,45,DJ
20162,2022-10-07,2022-10-07,DJ,FRUD-C,7,DJ
20064,2024-12-18,2025-05-06,Houthi Yemen,"United States Navy,Royal Navy,Australia Navy,Bahraini Naval Force,Danish Navy,Finnish Navy,Dutch Navy, New Zealand Navy,Singaporean Navy,Sri Lanka Navy",10,GR
20065,2023-05-01,2025-11-02,KZ,Extremist Groups,40,KZ
372,1990-06-28,1991-11-09,ML,FPLA,59,ML
283,1964-01-03,1965-12-31,CD,APCLS,136,CD
283,1964-01-03,1965-12-31,CD,APCLS,29,CD
283,1964-01-03,1965-12-31,CD,APCLS,48,CD
283,1964-01-03,1965-12-31,CD,APCLS,147,CD
383,1987-12-31,1993-11-27,TR,TAK,160,TR
419,2002-09-19,2004-11-09,CI,FDSI-CI,50,CI
230,1948-03-15,1948-03-15,YE,Ansarallah,746,YE
230,1948-03-15,1948-03-15,YE,Ansarallah,35,YE
343,1980-01-27,1980-01-28,TN,AQIM,29,TN
343,1980-01-27,1980-01-28,TN,AQIM,50,TN
343,1980-01-27,1980-01-28,TN,AQIM,27,TN
11346,2011-02-28,2011-11-23,LY,Forces of Muammar Gaddafi,713,LY
11350,1994-04-24,2006-12-22,BD,PBCP,32,BD
222,1948-02-29,1988-12-31,MM,CNF,68,"IN,"
13692,2001-10-07,2001-11-13,AF,"GB,US",1397,AF
308,1970-08-20,1990-08-02,PH,BIFM,35,PH
308,1970-08-20,1990-08-02,PH,BIFM,62,PH
308,1970-08-20,1990-08-02,PH,BIFM,138,PH
308,1970-08-20,1990-08-02,PH,BIFM,178,PH
308,1970-08-20,1990-08-02,PH,BIFM,71,PH
335,1979-07-09,1988-08-12,IN,NLFT-B,26,IN
283,1964-01-03,1965-12-31,CD,CNPSC,82,CD
283,1964-01-03,1965-12-31,CD,CNPSC,43,CD
283,1964-01-03,1965-12-31,CD,CNPSC,57,CD
283,1964-01-03,1965-12-31,CD,CNPSC,242,CD
283,1964-01-03,1965-12-31,CD,CNPSC,302,CD
283,1964-01-03,1965-12-31,CD,CNPSC,75,CD
283,1964-01-03,1965-12-31,CD,CNPSC,90,CD
283,1964-01-03,1965-12-31,CD,CNPSC,92,CD
283,1964-01-03,1965-12-31,CD,CNPSC,41,CD
223,1948-01-31,1961-11-15,MM,ULA,27,MM
223,1948-01-31,1961-11-15,MM,ULA,480,MM
223,1948-01-31,1961-11-15,MM,ULA,170,"BD,"
223,1948-01-31,1961-11-15,MM,ULA,134,"BD,"
223,1948-01-31,1961-11-15,MM,ULA,80,MM
223,1948-01-31,1961-11-15,MM,ULA,515,"BD,"
